"ISO3","Year","Sector_abb","Disaster_Frequency","Category","Value"
"ARG","2005","Agriculture",1,"Export_Domestics",1954.7926107887
"ARG","2005","Agriculture",1,"Export_Foreign",5.85597420312505
"ARG","2005","Agriculture",1,"Output_Domestic",6475.61042856152
"ARG","2005","Agriculture",1,"Output_Foreign",12.7821260901381
"ARG","2005","Construction",1,"Export_Domestics",0
"ARG","2005","Construction",1,"Export_Foreign",0
"ARG","2005","Construction",1,"Output_Domestic",6817.23205149474
"ARG","2005","Construction",1,"Output_Foreign",531.376237747976
"ARG","2005","Education",1,"Export_Domestics",3.62932323936869
"ARG","2005","Education",1,"Export_Foreign",0.157562416141617
"ARG","2005","Education",1,"Output_Domestic",2594.25021173664
"ARG","2005","Education",1,"Output_Foreign",7.43289579743511
"ARG","2005","Electronic",1,"Export_Domestics",83.0953449683178
"ARG","2005","Electronic",1,"Export_Foreign",57.9355295054634
"ARG","2005","Electronic",1,"Output_Domestic",1193.27712454115
"ARG","2005","Electronic",1,"Output_Foreign",633.930587094784
"ARG","2005","Energy",1,"Export_Domestics",604.174960848443
"ARG","2005","Energy",1,"Export_Foreign",225.69106914282
"ARG","2005","Energy",1,"Output_Domestic",11496.9001159816
"ARG","2005","Energy",1,"Output_Foreign",4432.66077644335
"ARG","2005","Food",1,"Export_Domestics",3283.58258369675
"ARG","2005","Food",1,"Export_Foreign",360.007117416932
"ARG","2005","Food",1,"Output_Domestic",16649.1618572679
"ARG","2005","Food",1,"Output_Foreign",1197.56821799083
"ARG","2005","HumanActivities",1,"Export_Domestics",116.076365411138
"ARG","2005","HumanActivities",1,"Export_Foreign",79.3202531717485
"ARG","2005","HumanActivities",1,"Output_Domestic",9174.6133697966
"ARG","2005","HumanActivities",1,"Output_Foreign",920.186157241725
"ARG","2005","Machinery",1,"Export_Domestics",89.0093063475988
"ARG","2005","Machinery",1,"Export_Foreign",122.218881003499
"ARG","2005","Machinery",1,"Output_Domestic",1883.1559418188
"ARG","2005","Machinery",1,"Output_Foreign",913.719658624237
"ARG","2005","Manufacturing",1,"Export_Domestics",473.552946412066
"ARG","2005","Manufacturing",1,"Export_Foreign",40.3112112159316
"ARG","2005","Manufacturing",1,"Output_Domestic",5809.02129308708
"ARG","2005","Manufacturing",1,"Output_Foreign",242.944149290324
"ARG","2005","Mining",1,"Export_Domestics",16.6448872590499
"ARG","2005","Mining",1,"Export_Foreign",10.7284220879016
"ARG","2005","Mining",1,"Output_Domestic",1402.80737020958
"ARG","2005","Mining",1,"Output_Foreign",279.520331447522
"ARG","2005","Pharma",1,"Export_Domestics",148.758355142658
"ARG","2005","Pharma",1,"Export_Foreign",286.051943763156
"ARG","2005","Pharma",1,"Output_Domestic",1082.85160378524
"ARG","2005","Pharma",1,"Output_Foreign",1510.94593863686
"ARG","2005","RawMaterial",1,"Export_Domestics",119.075972123387
"ARG","2005","RawMaterial",1,"Export_Foreign",45.0586553799436
"ARG","2005","RawMaterial",1,"Output_Domestic",1832.61522773273
"ARG","2005","RawMaterial",1,"Output_Foreign",207.998154062253
"ARG","2005","Recreation",1,"Export_Domestics",36.5992018940766
"ARG","2005","Recreation",1,"Export_Foreign",2.00327201487192
"ARG","2005","Recreation",1,"Output_Domestic",2547.25056602016
"ARG","2005","Recreation",1,"Output_Foreign",38.7047734613652
"ARG","2005","Transportation",1,"Export_Domestics",1771.82239753613
"ARG","2005","Transportation",1,"Export_Foreign",1353.67181548289
"ARG","2005","Transportation",1,"Output_Domestic",15985.3267030452
"ARG","2005","Transportation",1,"Output_Foreign",3343.31132038732
"ARG","2006","Agriculture",1,"Export_Domestics",1720.03806634372
"ARG","2006","Agriculture",1,"Export_Foreign",3.81028326176306
"ARG","2006","Agriculture",1,"Output_Domestic",6629.22102116619
"ARG","2006","Agriculture",1,"Output_Foreign",14.6884888399642
"ARG","2006","Construction",1,"Export_Domestics",0
"ARG","2006","Construction",1,"Export_Foreign",0
"ARG","2006","Construction",1,"Output_Domestic",7393.86523344478
"ARG","2006","Construction",1,"Output_Foreign",653.725458992968
"ARG","2006","Education",1,"Export_Domestics",4.35572018498463
"ARG","2006","Education",1,"Export_Foreign",0.00731720241855747
"ARG","2006","Education",1,"Output_Domestic",2861.60342655382
"ARG","2006","Education",1,"Output_Foreign",4.81413661468421
"ARG","2006","Electronic",1,"Export_Domestics",98.0942005429428
"ARG","2006","Electronic",1,"Export_Foreign",74.7793717602938
"ARG","2006","Electronic",1,"Output_Domestic",1308.99637204714
"ARG","2006","Electronic",1,"Output_Foreign",707.308899698066
"ARG","2006","Energy",1,"Export_Domestics",586.33661799876
"ARG","2006","Energy",1,"Export_Foreign",321.528478110044
"ARG","2006","Energy",1,"Output_Domestic",12299.9604068606
"ARG","2006","Energy",1,"Output_Foreign",5392.71572644709
"ARG","2006","Food",1,"Export_Domestics",3552.40175967799
"ARG","2006","Food",1,"Export_Foreign",490.377882107273
"ARG","2006","Food",1,"Output_Domestic",18412.3261843577
"ARG","2006","Food",1,"Output_Foreign",1468.50128002239
"ARG","2006","HumanActivities",1,"Export_Domestics",140.036179001294
"ARG","2006","HumanActivities",1,"Export_Foreign",99.3625077990901
"ARG","2006","HumanActivities",1,"Output_Domestic",10187.9338805092
"ARG","2006","HumanActivities",1,"Output_Foreign",1061.45833340329
"ARG","2006","Machinery",1,"Export_Domestics",105.31891539864
"ARG","2006","Machinery",1,"Export_Foreign",137.288573251043
"ARG","2006","Machinery",1,"Output_Domestic",1965.41065084263
"ARG","2006","Machinery",1,"Output_Foreign",1051.94819868818
"ARG","2006","Manufacturing",1,"Export_Domestics",492.925130214661
"ARG","2006","Manufacturing",1,"Export_Foreign",50.3842373145549
"ARG","2006","Manufacturing",1,"Output_Domestic",6392.18334143349
"ARG","2006","Manufacturing",1,"Output_Foreign",329.875958896919
"ARG","2006","Mining",1,"Export_Domestics",7.95838552236104
"ARG","2006","Mining",1,"Export_Foreign",20.2505406316539
"ARG","2006","Mining",1,"Output_Domestic",1495.43657710638
"ARG","2006","Mining",1,"Output_Foreign",325.694543621312
"ARG","2006","Pharma",1,"Export_Domestics",173.568095583029
"ARG","2006","Pharma",1,"Export_Foreign",325.628367957835
"ARG","2006","Pharma",1,"Output_Domestic",1216.94069073834
"ARG","2006","Pharma",1,"Output_Foreign",1725.40636354846
"ARG","2006","RawMaterial",1,"Export_Domestics",160.508429584785
"ARG","2006","RawMaterial",1,"Export_Foreign",40.0112733155462
"ARG","2006","RawMaterial",1,"Output_Domestic",1956.57679533052
"ARG","2006","RawMaterial",1,"Output_Foreign",220.120858904518
"ARG","2006","Recreation",1,"Export_Domestics",45.1554008206964
"ARG","2006","Recreation",1,"Export_Foreign",0.894493444643402
"ARG","2006","Recreation",1,"Output_Domestic",2876.85653376906
"ARG","2006","Recreation",1,"Output_Foreign",56.9914156251258
"ARG","2006","Transportation",1,"Export_Domestics",1829.58166262868
"ARG","2006","Transportation",1,"Export_Foreign",1690.76437510629
"ARG","2006","Transportation",1,"Output_Domestic",17136.895899317
"ARG","2006","Transportation",1,"Output_Foreign",3922.92037749267
"ARG","2007","Agriculture",3,"Export_Domestics",2341.13781758904
"ARG","2007","Agriculture",3,"Export_Foreign",4.08706825615427
"ARG","2007","Agriculture",3,"Output_Domestic",7493.88279495345
"ARG","2007","Agriculture",3,"Output_Foreign",13.082291819734
"ARG","2007","Construction",3,"Export_Domestics",0
"ARG","2007","Construction",3,"Export_Foreign",0
"ARG","2007","Construction",3,"Output_Domestic",7471.33903620571
"ARG","2007","Construction",3,"Output_Foreign",699.106509070693
"ARG","2007","Education",3,"Export_Domestics",4.69567066018483
"ARG","2007","Education",3,"Export_Foreign",0.00779969523606947
"ARG","2007","Education",3,"Output_Domestic",2852.13051811081
"ARG","2007","Education",3,"Output_Foreign",4.73739064497321
